Date,Open,High,Low,Close,Volume,OpenInterest
2019-06-07,2837.25,2883.5,2835.25,2872.25,2550208,0
2019-06-10,2890.5,2903.0,2877.75,2886.5,2552148,0
2019-06-11,2887.5,2908.75,2876.5,2884.25,2530596,0
2019-06-12,2884.5,2888.25,2872.5,2878.25,2495060,0
2019-06-13,2879.25,2893.75,2864.75,2891.75,448119,0
2019-06-14,2890.75,2896.0,2877.5,2888.0,951568,0
2019-06-17,2888.25,2898.0,2885.25,2889.5,1595842,0
2019-06-18,2891.25,2929.75,2882.25,2919.5,2093571,0
2019-06-19,2918.0,2930.0,2908.5,2926.75,2336928,0
2019-06-20,2924.0,2957.75,2923.75,2953.25,2431817,0
2019-06-21,2951.0,2962.5,2941.0,2943.75,2440112,0
2019-06-24,2941.25,2955.0,2940.5,2945.25,2443361,0
2019-06-25,2944.25,2951.5,2913.25,2915.25,2437612,0
2019-06-26,2915.75,2932.25,2907.75,2911.25,2454470,0
2019-06-27,2908.0,2929.0,2908.0,2924.25,2443809,0
2019-06-28,2926.0,2948.5,2923.25,2937.5,2447733,0
2019-07-01,2963.25,2975.0,2948.75,2961.0,2497814,0
2019-07-02,2961.25,2973.25,2951.75,2972.75,2512020,0
2019-07-03,2972.25,2994.75,2967.0,2993.5,2552643,0
2019-07-05,2994.0,2999.25,2964.5,2983.75,2550671,0
2019-07-08,2984.0,2988.0,2966.5,2971.75,2536264,0
2019-07-09,2971.0,2979.5,2956.75,2975.25,2535787,0
2019-07-10,2975.5,3000.75,2964.5,2990.75,2589325,0
2019-07-11,2989.25,3000.0,2985.75,2997.25,2591653,0
2019-07-12,2996.25,3011.25,2995.5,3008.75,2604976,0
2019-07-15,3008.5,3016.75,3004.0,3010.5,2615781,0
2019-07-16,3010.5,3015.0,2997.75,3000.25,2602908,0
2019-07-17,2999.0,3006.25,2973.75,2978.25,2605527,0
2019-07-18,2974.0,2998.5,2967.75,2990.75,2609493,0
2019-07-19,2997.0,3003.0,2962.75,2970.25,2581006,0
2019-07-22,2967.75,2986.75,2965.75,2982.25,2578540,0
2019-07-23,2982.0,3001.75,2980.75,3001.25,2594758,0
2019-07-24,2996.25,3015.25,2989.25,3014.75,2610627,0
2019-07-25,3011.25,3021.0,2991.25,2999.75,2593077,0
2019-07-26,2999.75,3022.75,2999.25,3017.75,2601816,0
2019-07-29,3015.25,3020.5,3008.75,3015.0,2590697,0
2019-07-30,3015.5,3020.75,2994.75,3005.5,2589607,0
2019-07-31,3009.5,3014.0,2951.25,2975.5,2563073,0
2019-08-01,2963.5,3007.5,2937.75,2945.25,2591795,0
2019-08-02,2943.5,2954.25,2906.75,2925.75,2543600,0
2019-08-05,2922.5,2926.75,2813.75,2823.25,2546479,0
2019-08-06,2809.5,2877.0,2769.0,2869.25,2534695,0
2019-08-07,2867.0,2884.75,2816.5,2873.75,2503075,0
2019-08-08,2872.25,2934.0,2863.75,2933.25,2482349,0
2019-08-09,2921.25,2929.0,2892.25,2913.0,2459531,0
2019-08-12,2912.0,2924.25,2865.75,2873.5,2465174,0
2019-08-13,2875.5,2937.5,2860.0,2925.25,2474720,0
2019-08-14,2924.25,2929.75,2829.0,2834.0,2489161,0
2019-08-15,2829.25,2865.0,2811.0,2841.75,2513286,0
2019-08-16,2844.25,2888.0,2842.75,2884.75,2465029,0
2019-08-19,2886.25,2925.5,2885.75,2917.0,2455579,0
2019-08-20,2914.5,2925.5,2887.5,2891.5,2482684,0
2019-08-21,2886.5,2925.75,2886.25,2922.5,2493806,0
2019-08-22,2924.5,2933.0,2897.5,2915.5,2486077,0
2019-08-23,2913.5,2930.0,2827.25,2848.75,2500435,0
2019-08-26,2824.25,2881.75,2803.5,2876.5,2518844,0
2019-08-27,2876.0,2892.75,2853.25,2858.75,2502439,0
